ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
พริกเหลือง,18.0,340.0,0.2,242.0,0.09,0.09,1.2,7.0,59.0,2.0,40.0,9.46,1.5
พริกเหลืองซอย,18.0,340.0,0.2,242.0,0.09,0.09,1.2,7.0,59.0,2.0,40.0,9.46,1.5
พริกแดงหั่นฝอย,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกแดงหั่นเส้น,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกแดงหั่นบาง,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกหยวกเขียว,7.0,163.0,0.11,99.5,0.039,0.089,0.19,0.0,18.0,0.72,23.0,4.78,0.9
พริกหยวกแดง,7.0,211.0,0.3,128.0,0.054,0.085,0.43,4.0,157.0,0.99,26.0,6.03,2.1
พริกหยวกแดงเขียว,7.0,211.0,0.3,128.0,0.054,0.085,0.43,4.0,157.0,0.99,26.0,6.03,2.1
พริกหยวกอ่อน,7.0,163.0,0.11,99.5,0.039,0.089,0.19,0.0,18.0,0.72,23.0,4.78,0.9
พริกหยวกหั่นเส้น,7.0,163.0,0.11,99.5,0.039,0.089,0.19,0.0,18.0,0.72,23.0,4.78,0.9
พริกสดเขียวหรือแดง,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกแห้งเม็ดใหญ่,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกแห้งเม็ดเล็ก,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกกะเหรี่ยง,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกจินดาแห้ง,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกมูลหนู,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
ขิง,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงสด,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงแก่,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงแก่สด,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงซอย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงหั่นฝอย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงหั่นแว่น,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงสดซอย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงสดหั่นฝอย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงอ่อนหั่น,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงอ่อนหั่นฝอย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ขิงโขลกคั้นน้ำ,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ข่า,37.0,166.0,0.31,26.7,0.058,0.036,0.15,2.0,34.0,0.81,53.0,13.34,1.8
ตะไคร้,65.0,723.0,0.49,2.6,0.065,0.135,8.17,6.0,0.0,1.82,99.0,25.3,0.0
มะกรูด,185.0,337.0,1.4,51.7,0.257,0.66,4.0,9.0,378.0,9.4,64.0,8.28,2.0
ใบมะกรูด,185.0,337.0,1.4,51.7,0.257,0.66,4.0,9.0,378.0,9.4,64.0,8.28,2.0
ใบยี่หร่า,177.0,295.0,0.64,18.0,0.034,0.076,3.17,4.0,264.0,3.15,23.0,2.65,1.6
ใบกะเพรา,177.0,295.0,0.64,18.0,0.034,0.076,3.17,4.0,264.0,3.15,23.0,2.65,1.6
ดอกกะเพรา,177.0,295.0,0.64,18.0,0.034,0.076,3.17,4.0,264.0,3.15,23.0,2.65,1.6
ใบโหระพา,177.0,295.0,0.64,18.0,0.034,0.076,3.17,4.0,264.0,3.15,23.0,2.65,1.6
ใบแมงลัก,177.0,295.0,0.64,18.0,0.034,0.076,3.17,4.0,264.0,3.15,23.0,2.65,1.6
ใบสาระแหน่,243.0,569.0,0.94,31.8,0.082,0.266,5.08,31.0,212.0,3.75,70.0,14.9,8.0
ใบชะพลู,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ใบชะพลูทอดกรอบ,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ใบทองหลางหรือใบขจร/ใบถั่วพลู,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ดอกโสน,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ดอกมะขามสด,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ดอกมะขามหรือใบมะขามอ่อน,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ใบผักบุ้ง,68.0,582.0,0.62,26.5,0.077,0.194,1.26,111.0,283.0,2.85,27.0,2.41,1.6
