ingredient_id,recipe_id,component_group,ingredient_name,nutrition_name,quantity,unit,grams_approx
141,14,ส่วนผสมหลัก,เนื้อปลาทูนึ่ง,เนื้อปลาทูนึ่ง,1/2,ถ้วย,120.0
142,14,ส่วนผสมหลัก,เนื้อหมูปนมัน,เนื้อหมูปนมัน,1/2,ถ้วย,120.0
143,14,ส่วนผสมหลัก,หัวหอมเล็กซอย,หัวหอมเล็กซอย,1/4,ถ้วย,60.0
144,14,ส่วนผสมหลัก,ขิงสดหั่นฝอย,ขิงสดหั่นฝอย,1/4,ถ้วย,60.0
145,14,ส่วนผสมหลัก,ผิวส้มซ่าขูด,ผิวส้มซ่าขูด,1,ช้อนชาพูน,
146,14,ส่วนผสมหลัก,ผิวมะนาวหั่นฝอย,ผิวมะนาวหั่นฝอย,1,ช้อนชาปาด,
147,14,ส่วนผสมหลัก,เนื้อส้มซ่า,เนื้อส้มซ่า,1/2,ถ้วย,120.0
148,14,ส่วนผสมหลัก,ถั่วลิสงคั่ว,ถั่วลิสงคั่ว,1/2,ถ้วย,120.0
149,14,ส่วนผสมหลัก,ข้าวคั่วหรือผงขนมปัง,ข้าวคั่วหรือผงขนมปัง,1,ช้อนโต๊ะ,15.0
150,14,ส่วนผสมหลัก,ผักชีหั่น,ผักชีหั่น,1,ช้อนชา,5.0
151,14,ส่วนผสมหลัก,พริกสดป่น,พริกสดป่น,1,ช้อนชา,5.0
152,14,ส่วนผสมหลัก,ผักกาดหอม,ผักกาดหอม,2,ต้น,
153,15,ส่วนผสมหลัก,ฟักเขียว,ฟักเขียว,1/2,ผล,
154,15,ส่วนผสมหลัก,นกพิราบ,นกพิราบ,1,ตัว,
155,15,ส่วนผสมหลัก,หอมหัวใหญ่,หอมหัวใหญ่,1,หัว,30.0
156,15,ส่วนผสมหลัก,ถั่วฝักยาว,ถั่วฝักยาว,6,ฝัก,
157,15,ส่วนผสมหลัก,แครอท,แครอท,1,หัว,30.0
158,15,ส่วนผสมหลัก,ผงปรุงรส,ผงปรุงรส,1,ช้อนชา,5.0
159,15,ส่วนผสมหลัก,เกลือ,เกลือ,1/2,ช้อนชา,2.5
160,15,ส่วนผสมหลัก,พริกไทยป่น,พริกไทยป่น,1/4,ช้อนชา,1.25
161,15,ส่วนผสมหลัก,ซีอิ๊วขาว,ซีอิ๊วขาว,1,ช้อนโต๊ะ,15.0
162,16,ส่วนผสมหลัก,ปลากุเลา,ปลากุเลา,250,กรัม,250.0
163,16,ส่วนผสมหลัก,กุ้งใหญ่หรือกุ้งตะเข็บ,กุ้งใหญ่หรือกุ้งตะเข็บ,100,กรัม,100.0
164,16,ส่วนผสมหลัก,หัวหอมหั่นสี่เหลี่ยมเล็ก,หัวหอมหั่นสี่เหลี่ยมเล็ก,50,กรัม,50.0
165,16,ส่วนผสมหลัก,ผักชีหั่น,ผักชีหั่น,1,ช้อนโต๊ะ,15.0
166,16,ส่วนผสมหลัก,พริกชี้ฟ้าเหลือง,พริกชี้ฟ้าเหลือง,1,เม็ด,
167,16,ส่วนผสมหลัก,น้ำส้มสายชู,น้ำส้มสายชู,1,ช้อนโต๊ะ,15.0
168,16,ส่วนผสมหลัก,น้ำตาลทราย,น้ำตาลทราย,1,ช้อนชา,5.0
169,16,ส่วนผสมหลัก,น้ำมันหมู,น้ำมันหมู,1/2,ถ้วย,100.0
170,16,ส่วนผสมหลัก,เกลือ,เกลือ,1/8,ช้อนชา,0.625
171,17,ส่วนผสมหลัก,หอยแมลงภู่สด,หอยแมลงภู่สด,400,กรัม,400.0
172,17,ส่วนผสมหลัก,กะหล่ำปลีขนาดเล็ก,กะหล่ำปลีขนาดเล็ก,200,กรัม,200.0
173,17,ส่วนผสมหลัก,ไข่เป็ด,ไข่เป็ด,2,ฟอง,140.0
174,17,ส่วนผสมหลัก,หัวกะทิข้น,หัวกะทิข้น,3,ถ้วยตวง,720.0
175,17,ส่วนผสมหลัก,ดอกโสน,ดอกโสน,30,กรัม,30.0
176,17,ส่วนผสมหลัก,ใบโหระพา,ใบโหระพา,1/2,ถ้วยตวง,120.0
177,17,ส่วนผสมหลัก,ต้นหอมซอย,ต้นหอมซอย,2,ช้อนโต๊ะ,30.0
178,17,ส่วนผสมหลัก,ผักชีซอย,ผักชีซอย,2,ช้อนโต๊ะ,30.0
179,17,ส่วนผสมหลัก,ใบมะกรูดหั่นฝอย,ใบมะกรูดหั่นฝอย,1,ช้อนโต๊ะ,15.0
180,17,ส่วนผสมหลัก,พริกแดงหั่นเส้น,พริกแดงหั่นเส้น,2,เม็ด,
181,17,ส่วนผสมหลัก,น้ำปลาอย่างดี,น้ำปลาอย่างดี,1,ช้อนโต๊ะ,18.0
182,17,น้ำพริกเครื่องปรุง,พริกแห้งใหญ่,พริกแห้งใหญ่,1,เม็ด,
183,17,น้ำพริกเครื่องปรุง,ตะไคร้ซอย,ตะไคร้ซอย,2,ช้อนโต๊ะพูน,
184,17,น้ำพริกเครื่องปรุง,หอมแดง,หอมแดง,5,กลีบ,10.0
185,17,น้ำพริกเครื่องปรุง,กระเทียม,กระเทียม,3,หัวกลาง,
186,17,น้ำพริกเครื่องปรุง,ข่า,ข่า,5,แว่น,25.0
187,17,น้ำพริกเครื่องปรุง,ผิวมะกรูดหั่นละเอียด,ผิวมะกรูดหั่นละเอียด,1/2,ช้อนชา,2.5
188,17,น้ำพริกเครื่องปรุง,รากผักชี,รากผักชี,1,ช้อนโต๊ะ,15.0
189,17,น้ำพริกเครื่องปรุง,พริกไทยเม็ด,พริกไทยเม็ด,11,เม็ด,0.55
190,17,น้ำพริกเครื่องปรุง,เกลือเม็ด,เกลือเม็ด,1,ช้อนชา,5.0
191,17,น้ำพริกเครื่องปรุง,กะปิดำ,กะปิดำ,1/2,ช้อนชา,2.5
192,18,ส่วนผสมหลัก,เนื้อไก่,เนื้อไก่,1,กิโลกรัม,1000.0
193,18,ส่วนผสมหลัก,ไข่ไก่,ไข่ไก่,2,ฟอง,110.0
194,18,ส่วนผสมหลัก,หัวกะทิ,หัวกะทิ,2,ถ้วยตวง,480.0
195,18,ส่วนผสมหลัก,ใบโหระพา,ใบโหระพา,1/2,ถ้วยตวง,120.0
196,18,ส่วนผสมหลัก,ใบมะกรูดซอย,ใบมะกรูดซอย,1,ช้อนโต๊ะ,15.0
197,18,ส่วนผสมหลัก,ผักชีซอย,ผักชีซอย,1,ช้อนโต๊ะ,15.0
198,18,ส่วนผสมหลัก,พริกแดงหั่นฝอย,พริกแดงหั่นฝอย,1,เม็ด,
199,18,เครื่องน้ำพริก,หัวหอมแดง,หัวหอมแดง,30,กรัม,30.0
200,18,เครื่องน้ำพริก,กระเทียม,กระเทียม,20,กรัม,20.0
201,18,เครื่องน้ำพริก,พริกแห้งเม็ดเล็ก,พริกแห้งเม็ดเล็ก,1,เม็ด,
